Mon Feb 01 08:38:18 PM - Connection lost with API...
Mon Feb 01 08:38:28 PM - Connection lost with API...
Mon Feb 01 08:38:33 PM - Connection lost with API...
Mon Feb 01 08:38:38 PM - Connection lost with API...
Mon Feb 01 08:38:43 PM - Connection lost with API...
Mon Feb 01 08:38:50 PM - Connection lost with API...
Mon Feb 01 08:38:53 PM - Connection lost with API...
Mon Feb 01 08:38:58 PM - Connection lost with API...
Tue Feb 02 10:22:02 AM - Calculated RSI for GOOGL: 47.1385373502072
Tue Feb 02 10:22:04 AM - Calculated RSI for NVDA: 57.983193277310846
Tue Feb 02 10:22:07 AM - Calculated RSI for AAPL: 52.63157894736851
Tue Feb 02 10:22:09 AM - Calculated RSI for NVAX: 57.694235588972376
Tue Feb 02 10:23:02 AM - Calculated RSI for GOOGL: 46.15715823466082
Tue Feb 02 10:23:04 AM - Calculated RSI for NVDA: 53.19812792511677
Tue Feb 02 10:23:06 AM - Calculated RSI for AAPL: 47.40259740259698
Tue Feb 02 10:23:08 AM - Calculated RSI for NVAX: 58.44411619891676
Tue Feb 02 10:23:11 AM - Calculated RSI for FB: 42.740286298567945
Tue Feb 02 10:24:02 AM - Calculated RSI for GOOGL: 46.22006994888359
Tue Feb 02 10:24:04 AM - Calculated RSI for NVDA: 50.61912576458288
Tue Feb 02 10:24:06 AM - Calculated RSI for AAPL: 53.84615384615377
Tue Feb 02 10:24:08 AM - Calculated RSI for NVAX: 51.46635997699824
Tue Feb 02 10:24:09 AM - Calculated RSI for FB: 41.544885177452834
Tue Feb 02 10:25:05 AM - Calculated RSI for GOOGL: 43.721846846846795
Tue Feb 02 10:25:07 AM - Calculated RSI for NVDA: 45.93070104754187
Tue Feb 02 10:25:08 AM - Calculated RSI for AAPL: 49.99999999999943
Tue Feb 02 10:25:10 AM - Calculated RSI for NVAX: 52.60253816442894
Tue Feb 02 10:25:12 AM - Calculated RSI for FB: 48.905109489051036
Tue Feb 02 10:26:02 AM - Calculated RSI for GOOGL: 43.798132066196736
Tue Feb 02 10:26:04 AM - Calculated RSI for NVDA: 49.184339314845126
Tue Feb 02 10:26:06 AM - Calculated RSI for AAPL: 49.17234664070153
Tue Feb 02 10:26:08 AM - Calculated RSI for NVAX: 51.80623123900233
Tue Feb 02 10:26:10 AM - Calculated RSI for FB: 44.223107569721186
Tue Feb 02 10:27:02 AM - Calculated RSI for GOOGL: 41.98875614898103
Tue Feb 02 10:27:04 AM - Calculated RSI for NVDA: 43.47512617159344
Tue Feb 02 10:27:06 AM - Calculated RSI for AAPL: 49.36708860759525
Tue Feb 02 10:27:10 AM - Calculated RSI for NVAX: 49.41257774706295
Tue Feb 02 10:27:11 AM - Calculated RSI for FB: 40.691393590205514
Tue Feb 02 11:14:04 AM - Calculated RSI for GOOGL: 55.27052238805996
Tue Feb 02 11:14:05 AM - Calculated RSI for NVDA: 41.48936170212738
Tue Feb 02 11:14:06 AM - Calculated RSI for AAPL: 40.7766990291268
Tue Feb 02 11:14:07 AM - Calculated RSI for NVAX: 60.478199718705966
Tue Feb 02 11:14:08 AM - Calculated RSI for FB: 41.46341463414619
Tue Feb 02 11:15:05 AM - Calculated RSI for GOOGL: 57.21873491067087
Tue Feb 02 11:15:06 AM - Calculated RSI for NVDA: 50.27624309392241
Tue Feb 02 11:15:07 AM - Calculated RSI for AAPL: 40.081521739130366
Tue Feb 02 11:15:08 AM - Calculated RSI for NVAX: 66.9117647058822
Tue Feb 02 11:15:09 AM - Calculated RSI for FB: 40.55896387184792
Tue Feb 02 11:16:04 AM - Calculated RSI for GOOGL: 59.5776772247362
